timestamp,price,volume,count,asset
1694736000000,214.6659382168555,33654.547790999946,22374,bch
1694649600000,205.39199944818122,43952.18972902997,33423,bch
1694563200000,200.57669030599044,56163.948699960085,36401,bch
1694476800000,199.93205251583532,76943.29025687011,49448,bch
1694390400000,185.9527207107478,29545.330273229996,25950,bch
1694304000000,189.08130298593179,29089.69595250001,22265,bch
1694217600000,193.15651965450922,14258.838553259995,12280,bch
1694131200000,193.65971733229634,25187.32579835001,19900,bch
1694044800000,191.8444125482007,16535.024820690018,13974,bch
1693958400000,192.460969579893,21573.402222200093,24347,bch
1693872000000,192.07310629265424,17859.754624200337,20590,bch
1693785600000,194.0741657712307,28534.5110181897,27807,bch
1693699200000,194.9414493580472,16348.468368560141,16677,bch
1693612800000,198.00889394446034,31659.013655510033,21389,bch
1693526400000,203.80539990896784,33248.25676977999,27945,bch
1693440000000,213.98279630320226,57512.394627959904,45840,bch
1693353600000,217.4420985732545,45166.79617560994,39884,bch
1693267200000,212.73969763362723,102678.88317084004,71967,bch
1693180800000,191.74384651567215,31565.20789314011,21248,bch
1693094400000,195.8480429504311,18222.600932020014,16630,bch
1693008000000,190.20994401008758,7922.215417569992,8925,bch
1692921600000,191.020638117907,19028.576892060024,17289,bch
1692835200000,191.7294512181711,21599.990395390018,18239,bch
1692748800000,191.085526942964,32345.38739472048,25916,bch
1692662400000,183.99658412575977,25905.98592826051,23135,bch
1692576000000,188.16311156322237,38794.748132139524,36160,bch
1692489600000,188.31704135077194,17472.130509650095,15416,bch
1692403200000,188.00176347567324,23943.17156484968,20551,bch
1692316800000,185.2058760986686,70988.22762467395,47676,bch
1692230400000,193.09809670156545,102551.62871592048,65743,bch
1692144000000,214.47064615159238,61695.76850181107,46427,bch
1692057600000,231.50358739397768,51574.74526263974,39540,bch
1691971200000,228.87231115548298,23915.23883010986,18580,bch
1691884800000,228.2468039735117,22055.054280519857,15225,bch
1691798400000,228.78768369951158,11185.486028010026,9659,bch
1691712000000,229.02834666474462,23748.95959796007,16492,bch
1691625600000,234.46710744283988,33481.01436400997,21448,bch
1691539200000,236.59298782134192,33951.812135060056,21642,bch
1691452800000,240.158771816298,83768.75124280958,47475,bch
1691366400000,233.99930708782293,111092.78197576076,59653,bch
1691280000000,224.40667692232,22465.56147173005,14926,bch
1691193600000,225.4080700054945,32300.6805458099,19093,bch
1691107200000,225.84597428466233,40532.32875097033,28508,bch
1691020800000,228.03639177552347,38064.57939413045,26494,bch
1690934400000,234.53575608058162,58386.43194735005,36061,bch
1690848000000,242.9516953295283,49661.869705610756,33295,bch
1690761600000,252.391222145319,84066.8270128172,46892,bch
1690675200000,249.93379688991283,72188.50357622112,44433,bch
1690588800000,240.43042060379207,26014.28554998059,16919,bch
1690502400000,242.5835146392802,30608.979360930043,19751,bch
1690416000000,244.904181385237,56029.02708192991,34474,bch
1690329600000,239.69948697665788,55898.69672561888,34848,bch
1690243200000,236.1819203621312,37930.38011814982,26498,bch
1690156800000,242.88634306155373,53064.760473829534,36735,bch
1690070400000,247.72405243676747,44962.18415563925,30713,bch
1689984000000,243.6276391971411,25566.679814220035,18617,bch
1689897600000,244.99534388147714,31943.283887319772,23027,bch
1689811200000,246.40599622011456,56067.00749276005,35389,bch
1689724800000,246.55410091887276,47236.82518157845,36224,bch
1689638400000,240.35719279701604,72989.21517997966,48900,bch
1689552000000,243.24925732585865,75056.61418747969,48912,bch
1689465600000,255.75091798949532,60698.39637036036,43375,bch
1689379200000,252.80741645611553,54793.90168068967,40464,bch
1689292800000,268.5700427879573,109415.8910067649,81593,bch
1689206400000,281.41192437182985,143720.79100972525,92843,bch
1689120000000,282.60575472719745,121619.8792021738,69079,bch
1689033600000,273.9901048917126,45026.573937570516,34738,bch
1688947200000,273.16807674679023,132491.90025416965,76374,bch
1688860800000,270.08268519070833,58016.09861230871,40419,bch
1688774400000,270.3218463883176,69860.7349334008,47227,bch
1688688000000,281.25293161180247,120948.48409307291,69829,bch
1688601600000,286.36591884543975,283204.61775767757,127305,bch
1688515200000,263.27099790925337,202957.02240473538,95184,bch
1688428800000,280.11382925161354,99440.4170358507,66634,bch
1688342400000,290.184206027877,139608.81785037264,81705,bch
1688256000000,289.35644018447164,197793.53826431106,118295,bch
1688169600000,292.5274419861268,181489.28451262548,109091,bch
1688083200000,296.5382740364844,587912.5254364702,269306,bch
1687996800000,239.00584156154042,222030.71962072878,98454,bch
1687910400000,229.47256830215233,197608.97836824655,97420,bch
1687824000000,226.75689618579216,244450.69197790825,116213,bch
1687737600000,211.18976901765387,373930.1006825161,155701,bch
1687651200000,200.8557979620489,385572.63187771937,139716,bch
1687564800000,191.95078309733202,483277.49885464227,165917,bch
1687478400000,165.38606284912882,552179.7441860163,160866,bch
1687392000000,137.08936850310533,207833.73335682254,62976,bch
1687305600000,130.34070821684531,305776.0972346312,93127,bch
1687219200000,107.75839996393289,42338.29705460982,15174,bch
1687132800000,106.22473929319176,18007.991036429827,9758,bch
1687046400000,107.20680662035379,26442.7643438299,12081,bch
1686960000000,107.11119957776943,16906.722516400037,9673,bch
1686873600000,106.14835767896177,38020.678053129894,13643,bch
1686787200000,103.42509287890849,37122.321698059844,14396,bch
1686700800000,103.17625952054215,35041.000883069864,14733,bch
1686614400000,104.855386796831,28312.66754830993,12951,bch
1686528000000,102.09378773180342,32194.209838220133,12397,bch
1686441600000,102.53697940226965,22057.5493422298,11932,bch
1686355200000,99.77858527380248,677640.1212139495,59526,bch
1686268800000,110.76475101920197,24991.06940245008,11473,bch
